Name,Hit end,Hit start,Query,Query coverage,Query end,Query start,Sequence Length
15_339947c3-6d1c-488a-89e5-c09d7591bac0,74782,74960,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.85%,182,2,75438
15_339947c3-6d1c-488a-89e5-c09d7591bac0,74802,75033,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,75438
15_368404b4-3b13-409c-bcd0-0ccbed196239,103,6828,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,70.65%,6924,1,7281
15_394448fb-9dda-4fe9-a220-c8391c99ac83,81,5934,LmxM.24_left_10kb - bases 201 - 10000,60.24%,5904,1,6678
15_0426498c-363e-4977-8bfe-2315816fd0a8,16858,16975,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,28404
15_0426498c-363e-4977-8bfe-2315816fd0a8,16859,17055,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,28404
15_0426498c-363e-4977-8bfe-2315816fd0a8,16859,17022,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.69%,170,5,28404
15_488098b3-e8fd-409d-b7f5-1828e7f7c986,9565,9654,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,10234
15_488098b3-e8fd-409d-b7f5-1828e7f7c986,9565,9762,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,10234
15_496918c0-0558-425d-a13f-54d3f87f6257,9769,9859,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,16507
15_496918c0-0558-425d-a13f-54d3f87f6257,9769,9915,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.49%,172,27,16507
15_620913d0-cd5a-47b0-a498-e33f7b9cc62f,44215,44305,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,44991
15_620913d0-cd5a-47b0-a498-e33f7b9cc62f,44215,44413,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,44991
15_620913d0-cd5a-47b0-a498-e33f7b9cc62f,44215,44380,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,44991
15_675742aa-3a80-40cf-855d-ba796ceed45c,56722,56913,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.96%,193,2,57356
15_675742aa-3a80-40cf-855d-ba796ceed45c,56729,56911,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.90%,186,1,57356
15_697911c1-5977-469a-9daf-6c90322de6f0,52901,53306,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,4.32%,2667,2245,116055
15_0797913f-216d-4512-b4a4-d05176217ae1,72,6244,LmxM.23_left_10kb - bases 201 - 10000,63.42%,6215,1,19681
15_0797913f-216d-4512-b4a4-d05176217ae1,6160,6330,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.73%,173,4,19681
15_0797913f-216d-4512-b4a4-d05176217ae1,6157,6330,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.78%,174,1,19681
15_809375ed-9c8a-4403-adf7-39192f13b449,75,7620,LmxM.05_left_10kb - bases 201 - 10000,79.34%,7775,1,8098
15_858280e5-5040-4604-b499-dfecec45fdf0,27320,27439,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,28202
15_858280e5-5040-4604-b499-dfecec45fdf0,27321,27463,LmxM.19_left_10kb - bases 201 - 10000,1.48%,145,1,28202
15_858280e5-5040-4604-b499-dfecec45fdf0,27321,27519,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,28202
15_858280e5-5040-4604-b499-dfecec45fdf0,27321,27486,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.69%,170,5,28202
15_858280e5-5040-4604-b499-dfecec45fdf0,27321,27411,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,28202
15_00930722-5c67-405f-b11c-ae240316d56f,22366,31967,LmxM.13_left_10kb - bases 201 - 10000,100.00%,9800,1,32380
15_936903e8-af7a-4c67-b7c3-0e54e8597f4a,3603,650,LmxM.19_left_10kb - bases 201 - 10000,30.40%,2979,1,3652
15_958627c8-33af-4ac4-bc11-51fa4b3cd594,75,7681,LmxM.12_left_10kb - bases 201 - 10000,78.47%,7690,1,27011
15_989238cc-f9ce-4bb2-824c-152513dc099f,62305,62463,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.63%,167,8,62903
15_3238140b-f51c-4198-bf07-2143c5020c54,14961,5415,LmxM.14_left_10kb - bases 201 - 10000,100.00%,9800,1,54198
15_4325480a-9075-4390-9e22-22ca2c8a162d,11882,21648,LmxM.12_left_10kb - bases 201 - 10000,100.00%,9800,1,45661
15_4462885c-24a1-407f-8ec0-7f6524bd4d08,7146,7304,LmxM.19_left_10kb - bases 201 - 10000,1.62%,159,1,7815
15_4462885c-24a1-407f-8ec0-7f6524bd4d08,7159,7361,LmxM.27_left_10kb - bases 201 - 10000,2.06%,202,1,7815
15_4462885c-24a1-407f-8ec0-7f6524bd4d08,7159,7325,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.69%,175,10,7815
15_4462885c-24a1-407f-8ec0-7f6524bd4d08,7160,7404,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.51%,246,1,7815
15_4462885c-24a1-407f-8ec0-7f6524bd4d08,73,7325,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,75.04%,7360,7,7815
15_5561363a-b0c8-4f86-a15d-62c135315f9d,1110,408,LmxM.01_left_10kb - bases 201 - 10000,7.30%,715,1,1111
15_5650295a-e686-4252-8074-4923a4e39ca4,18547,18707,LmxM.19_left_10kb - bases 201 - 10000,1.64%,161,1,19370
15_5650295a-e686-4252-8074-4923a4e39ca4,18543,18765,LmxM.27_left_10kb - bases 201 - 10000,2.27%,223,2,19370
15_5650295a-e686-4252-8074-4923a4e39ca4,18546,18734,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.93%,189,1,19370
15_06421251-00a9-46ef-a1e4-47c57a4102ea,2761,2523,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,2842
15_7532801f-9b12-422e-911a-b4c7272aa4f6,9219,9338,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,9783
15_7532801f-9b12-422e-911a-b4c7272aa4f6,9220,9362,LmxM.19_left_10kb - bases 201 - 10000,1.48%,145,1,9783
15_7532801f-9b12-422e-911a-b4c7272aa4f6,9220,9418,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,9783
15_7532801f-9b12-422e-911a-b4c7272aa4f6,9220,9385,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.69%,170,5,9783
15_7532801f-9b12-422e-911a-b4c7272aa4f6,9220,9310,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,9783
15_7826762b-71ca-415c-ab0f-521cce10d2ad,11697,11873,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.78%,175,2,12312
15_7826762b-71ca-415c-ab0f-521cce10d2ad,11694,11871,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.80%,176,1,12312
15_7826762b-71ca-415c-ab0f-521cce10d2ad,2019,11790,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,12312
15_7958973a-893b-4ea9-b955-b69bda602c59,3565,530,LmxM.33_left_10kb - bases 201 - 10000,31.53%,3090,1,3626
15_7958973a-893b-4ea9-b955-b69bda602c59,1108,1445,LmxM.33_left_10kb - bases 201 - 10000,3.40%,4342,4010,3626
15_7958973a-893b-4ea9-b955-b69bda602c59,1137,1433,LmxM.33_left_10kb - bases 201 - 10000,2.99%,8898,8606,3626
15_08623988-4030-49dd-9ac3-1bc222b41b7f,1540,1451,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,9547
15_08623988-4030-49dd-9ac3-1bc222b41b7f,1541,1423,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,9547
15_08623988-4030-49dd-9ac3-1bc222b41b7f,1540,1378,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.67%,170,7,9547
15_9020531b-5506-4a1a-811d-466dbee9d402,4381,4554,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.79%,175,1,8552
15_9020531b-5506-4a1a-811d-466dbee9d402,79,4495,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,46.36%,4543,1,8552
15_9496135b-efdb-45a4-bb8b-4fbf2433a2f2,32000,32385,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,3.92%,2628,2245,50027
15_9496135b-efdb-45a4-bb8b-4fbf2433a2f2,12729,3016,LmxM.28_left_10kb - bases 201 - 10000,100.00%,9800,1,50027
15_9689697d-41dd-4847-928e-87aa9be14804,20690,30267,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,30737
15_9689697d-41dd-4847-928e-87aa9be14804,21634,23686,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.48%,9707,7603,30737
15_9689697d-41dd-4847-928e-87aa9be14804,20784,22831,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.44%,8827,6727,30737
15_9689697d-41dd-4847-928e-87aa9be14804,22495,23686,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.52%,9707,8481,30737
15_9689697d-41dd-4847-928e-87aa9be14804,20784,21980,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.50%,7949,6725,30737
15_9689697d-41dd-4847-928e-87aa9be14804,11297,11736,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,4.49%,8834,8395,30737
15_9689697d-41dd-4847-928e-87aa9be14804,11297,11736,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,4.49%,7956,7517,30737
15_9689697d-41dd-4847-928e-87aa9be14804,11304,11736,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,4.42%,9707,9275,30737
15_21877464-c823-49e5-bd8d-45f3ce693959,54097,54216,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,54704
15_21877464-c823-49e5-bd8d-45f3ce693959,54098,54297,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,54704
15_22684848-034d-436a-9b79-bedf827881f2,10906,20636,LmxM.12_left_10kb - bases 201 - 10000,100.00%,9800,1,43629
15_28639491-9a42-44ba-8db5-c1fbc35705f7,12468,22142,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,22658
15_30764978-5ebc-4565-b75f-602322c68cc0,9593,9683,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,10263
15_30764978-5ebc-4565-b75f-602322c68cc0,9593,9791,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,10263
15_30764978-5ebc-4565-b75f-602322c68cc0,9593,9758,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,10263
15_33462163-067b-477a-af9d-4a944ce94915,11227,11359,LmxM.12_left_10kb - bases 201 - 10000,1.39%,137,2,11738
15_33462163-067b-477a-af9d-4a944ce94915,1671,11383,LmxM.19_left_10kb - bases 201 - 10000,100.00%,9800,1,11738
15_33462163-067b-477a-af9d-4a944ce94915,4247,5618,LmxM.19_left_10kb - bases 201 - 10000,14.12%,6346,4963,11738
15_33462163-067b-477a-af9d-4a944ce94915,5099,6469,LmxM.19_left_10kb - bases 201 - 10000,14.13%,7201,5817,11738
15_33462163-067b-477a-af9d-4a944ce94915,5938,6469,LmxM.19_left_10kb - bases 201 - 10000,5.39%,7201,6674,11738
15_33462163-067b-477a-af9d-4a944ce94915,4247,4773,LmxM.19_left_10kb - bases 201 - 10000,5.38%,5489,4963,11738
15_33462163-067b-477a-af9d-4a944ce94915,11228,11439,LmxM.27_left_10kb - bases 201 - 10000,2.21%,217,1,11738
15_38621464-1d95-4a5d-aac1-9cd71c22c542,75,6594,LmxM.13_left_10kb - bases 201 - 10000,67.56%,6624,4,7152
15_39994968-4c34-459c-8b3a-fd2bddc30d8b,61,4283,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,44.44%,4355,1,8862
15_39994968-4c34-459c-8b3a-fd2bddc30d8b,8850,6342,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,26.64%,2611,1,8862
15_40221960-95ef-49a7-864e-a0f7cdef0515,717,222,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,5.05%,495,1,766
15_46611155-2dda-4249-9289-dd9be9db3ef2,59,6249,LmxM.14_left_10kb - bases 201 - 10000,63.36%,6209,1,6793
15_47664071-6e3b-48cc-8bc8-838210739595,9842,8985,LmxM.07_left_10kb - bases 201 - 10000,8.99%,892,12,75989
15_47664071-6e3b-48cc-8bc8-838210739595,57696,67424,LmxM.28_left_10kb - bases 201 - 10000,100.00%,9800,1,75989
15_52740504-af7a-4211-b3a4-aee3d0b5359a,650,475,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.79%,175,1,28671
15_52740504-af7a-4211-b3a4-aee3d0b5359a,8469,534,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.77%,8111,1,28671
15_59123303-f1dc-4624-98e3-227fc4b5fcdf,5399,5531,LmxM.12_left_10kb - bases 201 - 10000,1.39%,137,2,5998
15_59123303-f1dc-4624-98e3-227fc4b5fcdf,64,5557,LmxM.19_left_10kb - bases 201 - 10000,56.76%,5562,1,5998
15_59123303-f1dc-4624-98e3-227fc4b5fcdf,64,649,LmxM.19_left_10kb - bases 201 - 10000,6.07%,6419,5825,5998
15_59123303-f1dc-4624-98e3-227fc4b5fcdf,142,649,LmxM.19_left_10kb - bases 201 - 10000,5.27%,7197,6682,5998
15_60215524-b6da-4e26-8a16-8a251c15631b,21161,30879,LmxM.01_left_10kb - bases 201 - 10000,99.98%,9800,3,31332
15_70374116-0b3b-4ba7-a7ca-359cafc9dd40,52950,53124,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.79%,175,1,66487
15_70374116-0b3b-4ba7-a7ca-359cafc9dd40,45258,53065,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.65%,8100,1,66487
15_70642729-8ced-4d20-9576-478206bd1a7d,1665,1738,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.77%,96,22,3966
15_70642729-8ced-4d20-9576-478206bd1a7d,1293,1519,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,3966
15_74331309-856b-4e91-9ad3-8b788ee11008,29497,29647,LmxM.19_left_10kb - bases 201 - 10000,1.58%,155,1,30052
15_74331309-856b-4e91-9ad3-8b788ee11008,29496,29676,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.85%,182,2,30052
15_74331309-856b-4e91-9ad3-8b788ee11008,29513,29749,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.40%,235,1,30052
15_74331309-856b-4e91-9ad3-8b788ee11008,29504,29674,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.76%,172,1,30052
15_75052419-72af-42b3-b277-b868d2d5abbc,18802,19230,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,4.38%,7728,7300,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,14579,24292,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,14673,16771,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.46%,8827,6725,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,15554,17635,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.43%,9702,7603,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,14673,15898,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.50%,7949,6725,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,16425,17635,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.52%,9707,8481,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,5097,5531,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,4.48%,8834,8396,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,5097,5531,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,4.48%,7956,7518,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,5104,5531,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,4.41%,9707,9276,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,5097,5446,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,3.61%,7078,6725,25031
15_75052419-72af-42b3-b277-b868d2d5abbc,17299,17635,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,3.54%,9707,9361,25031
15_75534494-80df-4f18-8b3b-1d86815737cd,10096,895,LmxM.24_left_10kb - bases 201 - 10000,94.49%,9260,1,10097
15_78433840-b5aa-42f3-b899-cda9cffddc85,4815,4934,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,11203
15_78433840-b5aa-42f3-b899-cda9cffddc85,4816,5017,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,11203
15_78433840-b5aa-42f3-b899-cda9cffddc85,4816,4982,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.69%,170,5,11203
15_78433840-b5aa-42f3-b899-cda9cffddc85,4816,4906,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,11203
15_85065359-b7da-44ee-9a45-7275df918cd7,39247,39337,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,39931
15_85065359-b7da-44ee-9a45-7275df918cd7,39247,39445,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,39931
15_85065359-b7da-44ee-9a45-7275df918cd7,39247,39412,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,39931
15_86326780-fc3b-43c1-8ba0-7020e38db9d2,884,431,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,4.61%,452,1,1324
15_86326780-fc3b-43c1-8ba0-7020e38db9d2,589,364,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.32%,231,5,1324
15_89633073-7cbc-463d-b672-8935cd5af959,7352,7471,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,7838
15_89633073-7cbc-463d-b672-8935cd5af959,7353,7495,LmxM.19_left_10kb - bases 201 - 10000,1.48%,145,1,7838
15_89633073-7cbc-463d-b672-8935cd5af959,7353,7550,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,7838
15_89633073-7cbc-463d-b672-8935cd5af959,7353,7517,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.69%,170,5,7838
15_89633073-7cbc-463d-b672-8935cd5af959,7353,7443,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,7838
15_98406893-6f9f-4746-947b-e8c5aad50173,76,3718,LmxM.12_left_10kb - bases 201 - 10000,37.71%,3697,2,17611
15_99001959-a6d4-49c2-8505-6c051b049be3,3191,3379,LmxM.27_left_10kb - bases 201 - 10000,1.94%,190,1,4182
15_a1a4adfd-79c8-4f55-8091-b1124e331ff5,73,394,LmxM.12_left_10kb - bases 201 - 10000,3.27%,320,1,1081
15_a1d1c3f1-cc65-42be-9064-069017f36e1f,984,1074,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,1499
15_a01db0b6-3929-46ba-984a-d015a2c91e15,424,289,LmxM.12_left_10kb - bases 201 - 10000,1.39%,137,2,627
15_a01db0b6-3929-46ba-984a-d015a2c91e15,627,265,LmxM.19_left_10kb - bases 201 - 10000,3.72%,365,1,627
15_a01db0b6-3929-46ba-984a-d015a2c91e15,423,209,LmxM.27_left_10kb - bases 201 - 10000,2.21%,217,1,627
15_a01db0b6-3929-46ba-984a-d015a2c91e15,423,242,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.86%,186,5,627
15_a1f5bced-0183-4843-9747-26f450c56293,20803,20922,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,21856
15_a1f5bced-0183-4843-9747-26f450c56293,20804,20946,LmxM.19_left_10kb - bases 201 - 10000,1.48%,145,1,21856
15_a1f5bced-0183-4843-9747-26f450c56293,20804,21002,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,21856
15_a1f5bced-0183-4843-9747-26f450c56293,20804,20969,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.69%,170,5,21856
15_a1f5bced-0183-4843-9747-26f450c56293,20804,20894,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,21856
15_a1f09755-11f7-4b07-85b6-ec5d8bf85a85,111,4531,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,45.91%,4499,1,11400
15_a2b59329-8a95-4463-a1be-cfb870f5c80c,6549,6668,LmxM.12_left_10kb - bases 201 - 10000,1.24%,124,3,7222
15_a2b59329-8a95-4463-a1be-cfb870f5c80c,6550,6722,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.78%,175,2,7222
15_a2b59329-8a95-4463-a1be-cfb870f5c80c,6547,6720,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.80%,176,1,7222
15_a2b59329-8a95-4463-a1be-cfb870f5c80c,71,6641,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,67.41%,6606,1,7222
15_a3d114c7-4a22-4d68-8014-b92104363e05,934,800,LmxM.24_left_10kb - bases 201 - 10000,1.38%,136,2,7109
15_a3fce0ea-42e8-48ea-b589-44d4794b5673,544,394,LmxM.19_left_10kb - bases 201 - 10000,1.58%,155,1,23933
15_a3fce0ea-42e8-48ea-b589-44d4794b5673,545,370,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.80%,182,7,23933
15_a3fce0ea-42e8-48ea-b589-44d4794b5673,537,370,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.72%,172,4,23933
15_a4a57a29-205f-4028-9718-7d353efecf8b,77,627,LmxM.24_left_10kb - bases 201 - 10000,5.66%,555,1,13860
15_a4c53f01-024c-43e3-a802-b58b90932c02,69418,79033,LmxM.24_left_10kb - bases 201 - 10000,100.00%,9800,1,86087
15_a6dd59b7-2d3d-482b-801a-223a008160b4,20790,11019,LmxM.23_left_10kb - bases 201 - 10000,100.00%,9800,1,57847
15_a6dd59b7-2d3d-482b-801a-223a008160b4,11109,10933,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.80%,179,4,57847
15_a6dd59b7-2d3d-482b-801a-223a008160b4,11103,10933,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.74%,171,1,57847
15_a7bf6d61-e93d-483b-a22e-fdcc8b8bf3fd,933,815,LmxM.12_left_10kb - bases 201 - 10000,1.21%,120,2,9223
15_a7bf6d61-e93d-483b-a22e-fdcc8b8bf3fd,934,791,LmxM.19_left_10kb - bases 201 - 10000,1.49%,146,1,9223
15_a7bf6d61-e93d-483b-a22e-fdcc8b8bf3fd,934,735,LmxM.27_left_10kb - bases 201 - 10000,2.04%,200,1,9223
15_a7bf6d61-e93d-483b-a22e-fdcc8b8bf3fd,934,768,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.70%,171,5,9223
15_a7bf6d61-e93d-483b-a22e-fdcc8b8bf3fd,934,843,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.94%,92,1,9223
15_a7ea6b1c-04ad-4409-8551-afb7b4a2760d,56,3755,LmxM.12_left_10kb - bases 201 - 10000,38.19%,3743,1,4130
15_a8a83779-03db-4c8c-b2c8-c86382ba0e19,19278,19452,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.85%,182,2,19991
15_a8a83779-03db-4c8c-b2c8-c86382ba0e19,19298,19522,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,19991
15_a8c1d5ef-ea95-4137-be2c-25f0b5ca9873,3058,2228,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,8.60%,843,1,3058
15_a59b460e-698a-4fc9-9bb1-1d46665c75df,34306,34506,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,34928
15_a62c0512-6b2f-40eb-a46c-5252c1ec508d,5417,636,LmxM.28_left_10kb - bases 201 - 10000,49.47%,4848,1,5420
15_a68e463d-5c25-4ca5-9d0b-f6dce2654318,45510,45629,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,46354
15_a68e463d-5c25-4ca5-9d0b-f6dce2654318,45511,45653,LmxM.19_left_10kb - bases 201 - 10000,1.48%,145,1,46354
15_a68e463d-5c25-4ca5-9d0b-f6dce2654318,45511,45709,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,46354
15_a68e463d-5c25-4ca5-9d0b-f6dce2654318,45511,45656,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.49%,170,25,46354
15_a68e463d-5c25-4ca5-9d0b-f6dce2654318,45511,45601,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,46354
15_a79d3a77-e459-40f3-817a-5d8555f76ae4,28455,38218,LmxM.19_left_10kb - bases 201 - 10000,100.00%,9800,1,38713
15_a79d3a77-e459-40f3-817a-5d8555f76ae4,31896,33250,LmxM.19_left_10kb - bases 201 - 10000,13.88%,7197,5838,38713
15_a79d3a77-e459-40f3-817a-5d8555f76ae4,31045,32416,LmxM.19_left_10kb - bases 201 - 10000,14.12%,6346,4963,38713
15_a79d3a77-e459-40f3-817a-5d8555f76ae4,31045,31569,LmxM.19_left_10kb - bases 201 - 10000,5.38%,5489,4963,38713
15_a79d3a77-e459-40f3-817a-5d8555f76ae4,32744,33250,LmxM.19_left_10kb - bases 201 - 10000,5.17%,7201,6695,38713
15_a96bef0d-03fe-4c6f-94a0-8606c0181e4d,15217,15308,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,15859
15_a96bef0d-03fe-4c6f-94a0-8606c0181e4d,15217,15415,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,15859
15_a194bfcc-7933-4afd-af5b-44d70e4f1dc0,46642,46830,LmxM.27_left_10kb - bases 201 - 10000,1.93%,189,1,47310
15_a372b48b-5670-4d84-9ecc-6863cf507670,5113,5304,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.96%,193,2,5876
15_a583cdd9-56eb-4a98-bbec-41a84148feb7,9418,2354,LmxM.24_left_10kb - bases 201 - 10000,73.39%,7192,1,9420
15_a697bfe4-6d95-4697-be8b-a381c8dff189,75686,85361,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,85954
15_a697bfe4-6d95-4697-be8b-a381c8dff189,75778,77841,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.27%,8827,6744,85954
15_a697bfe4-6d95-4697-be8b-a381c8dff189,76649,78727,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.48%,9707,7603,85954
15_a697bfe4-6d95-4697-be8b-a381c8dff189,75778,76998,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.50%,7949,6725,85954
15_a697bfe4-6d95-4697-be8b-a381c8dff189,77517,78727,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.52%,9707,8481,85954
15_a697bfe4-6d95-4697-be8b-a381c8dff189,7724,6742,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,10.09%,7072,6084,85954
15_a697bfe4-6d95-4697-be8b-a381c8dff189,15361,16299,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,9.71%,5537,4586,85954
15_a697bfe4-6d95-4697-be8b-a381c8dff189,52101,51673,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,4.44%,7952,7518,85954
15_a697bfe4-6d95-4697-be8b-a381c8dff189,52101,51673,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,4.44%,8830,8396,85954
15_a697bfe4-6d95-4697-be8b-a381c8dff189,52098,51673,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,4.41%,9707,9276,85954
