Name,Hit end,Hit start,Query,Query coverage,Query end,Query start,Sequence Length,Barcode,Read,Chromosome,Overhang,Sample,ValueToSubtract,AdjustedOverhang
15_22684848-034d-436a-9b79-bedf827881f2,10906,20636,LmxM.12_left_10kb - bases 201 - 10000,100.0,9800,1,43629,15,15_22684848-034d-436a-9b79-bedf827881f2,12L,22993.0,WT,168,22825.0
15_28639491-9a42-44ba-8db5-c1fbc35705f7,12468,22142,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,22658,15,15_28639491-9a42-44ba-8db5-c1fbc35705f7,31R,516.0,WT,95,421.0
15_33462163-067b-477a-af9d-4a944ce94915,1671,11383,LmxM.19_left_10kb - bases 201 - 10000,100.0,9800,1,11738,15,15_33462163-067b-477a-af9d-4a944ce94915,19L,355.0,WT,128,227.0
15_38621464-1d95-4a5d-aac1-9cd71c22c542,75,6594,LmxM.13_left_10kb - bases 201 - 10000,67.56,6624,4,7152,15,15_38621464-1d95-4a5d-aac1-9cd71c22c542,13L,558.0,WT,118,440.0
15_39994968-4c34-459c-8b3a-fd2bddc30d8b,61,4283,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,44.44,4355,1,8862,15,15_39994968-4c34-459c-8b3a-fd2bddc30d8b,09R,4579.0,WT,28,4551.0
15_46611155-2dda-4249-9289-dd9be9db3ef2,59,6249,LmxM.14_left_10kb - bases 201 - 10000,63.36,6209,1,6793,15,15_46611155-2dda-4249-9289-dd9be9db3ef2,14L,544.0,WT,129,415.0
15_47664071-6e3b-48cc-8bc8-838210739595,57696,67424,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,75989,15,15_47664071-6e3b-48cc-8bc8-838210739595,28L,8565.0,WT,122,8443.0
15_52740504-af7a-4211-b3a4-aee3d0b5359a,8469,534,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.77,8111,1,28671,15,15_52740504-af7a-4211-b3a4-aee3d0b5359a,16R,534.0,WT,168,366.0
15_59123303-f1dc-4624-98e3-227fc4b5fcdf,64,5557,LmxM.19_left_10kb - bases 201 - 10000,56.76,5562,1,5998,15,15_59123303-f1dc-4624-98e3-227fc4b5fcdf,19L,441.0,WT,128,313.0
15_60215524-b6da-4e26-8a16-8a251c15631b,21161,30879,LmxM.01_left_10kb - bases 201 - 10000,99.98,9800,3,31332,15,15_60215524-b6da-4e26-8a16-8a251c15631b,01L,453.0,WT,114,339.0
15_70374116-0b3b-4ba7-a7ca-359cafc9dd40,45258,53065,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.65,8100,1,66487,15,15_70374116-0b3b-4ba7-a7ca-359cafc9dd40,16R,13422.0,WT,168,13254.0
15_75052419-72af-42b3-b277-b868d2d5abbc,14579,24292,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,25031,15,15_75052419-72af-42b3-b277-b868d2d5abbc,18R,739.0,WT,186,553.0
15_75534494-80df-4f18-8b3b-1d86815737cd,10096,895,LmxM.24_left_10kb - bases 201 - 10000,94.49,9260,1,10097,15,15_75534494-80df-4f18-8b3b-1d86815737cd,24L,895.0,WT,148,747.0
15_98406893-6f9f-4746-947b-e8c5aad50173,76,3718,LmxM.12_left_10kb - bases 201 - 10000,37.71,3697,2,17611,15,15_98406893-6f9f-4746-947b-e8c5aad50173,12L,13893.0,WT,168,13725.0
15_a1f09755-11f7-4b07-85b6-ec5d8bf85a85,111,4531,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,45.91,4499,1,11400,15,15_a1f09755-11f7-4b07-85b6-ec5d8bf85a85,09R,6869.0,WT,28,6841.0
15_a2b59329-8a95-4463-a1be-cfb870f5c80c,71,6641,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,67.41,6606,1,7222,15,15_a2b59329-8a95-4463-a1be-cfb870f5c80c,23R,581.0,WT,186,395.0
15_a4c53f01-024c-43e3-a802-b58b90932c02,69418,79033,LmxM.24_left_10kb - bases 201 - 10000,100.0,9800,1,86087,15,15_a4c53f01-024c-43e3-a802-b58b90932c02,24L,7054.0,WT,148,6906.0
15_a6dd59b7-2d3d-482b-801a-223a008160b4,20790,11019,LmxM.23_left_10kb - bases 201 - 10000,100.0,9800,1,57847,15,15_a6dd59b7-2d3d-482b-801a-223a008160b4,23L,11019.0,WT,182,10837.0
15_a7ea6b1c-04ad-4409-8551-afb7b4a2760d,56,3755,LmxM.12_left_10kb - bases 201 - 10000,38.19,3743,1,4130,15,15_a7ea6b1c-04ad-4409-8551-afb7b4a2760d,12L,375.0,WT,168,207.0
15_a62c0512-6b2f-40eb-a46c-5252c1ec508d,5417,636,LmxM.28_left_10kb - bases 201 - 10000,49.47,4848,1,5420,15,15_a62c0512-6b2f-40eb-a46c-5252c1ec508d,28L,636.0,WT,122,514.0
15_a79d3a77-e459-40f3-817a-5d8555f76ae4,28455,38218,LmxM.19_left_10kb - bases 201 - 10000,100.0,9800,1,38713,15,15_a79d3a77-e459-40f3-817a-5d8555f76ae4,19L,495.0,WT,128,367.0
15_a583cdd9-56eb-4a98-bbec-41a84148feb7,9418,2354,LmxM.24_left_10kb - bases 201 - 10000,73.39,7192,1,9420,15,15_a583cdd9-56eb-4a98-bbec-41a84148feb7,24L,2354.0,WT,148,2206.0
15_a697bfe4-6d95-4697-be8b-a381c8dff189,75686,85361,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,85954,15,15_a697bfe4-6d95-4697-be8b-a381c8dff189,18R,593.0,WT,186,407.0
15_a3895e67-1d4f-44a1-b69c-ad221b2dd152,66,3076,LmxM.12_left_10kb - bases 201 - 10000,30.94,3032,1,3706,15,15_a3895e67-1d4f-44a1-b69c-ad221b2dd152,12L,630.0,WT,168,462.0
15_a196941a-6dea-42ca-8836-17d4b430e53e,12581,2933,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,99.91,9791,1,27117,15,15_a196941a-6dea-42ca-8836-17d4b430e53e,15R,2933.0,WT,136,2797.0
15_a8417692-427c-4728-8cc4-ee5dcb055b42,2068,11719,LmxM.27_left_10kb - bases 201 - 10000,99.95,9795,1,12679,15,15_a8417692-427c-4728-8cc4-ee5dcb055b42,27L,960.0,WT,148,812.0
15_aa112e4f-574b-4315-b28e-98f305ae3634,71,3618,LmxM.24_left_10kb - bases 201 - 10000,36.32,3559,1,8662,15,15_aa112e4f-574b-4315-b28e-98f305ae3634,24L,5044.0,WT,148,4896.0
15_aa813ea2-3a05-43ac-a717-9bc835477c1f,19209,28931,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,99.96,9796,1,31876,15,15_aa813ea2-3a05-43ac-a717-9bc835477c1f,03R,2945.0,WT,96,2849.0
15_aab961e7-0dcb-4a9b-a358-032821aa8a9b,11011,20723,LmxM.14_left_10kb - bases 201 - 10000,99.91,9800,10,25823,15,15_aab961e7-0dcb-4a9b-a358-032821aa8a9b,14L,5100.0,WT,129,4971.0
15_ab1f80f0-892c-4a5d-803b-fef099d07b68,7101,693,LmxM.24_left_10kb - bases 201 - 10000,67.14,6581,2,7148,15,15_ab1f80f0-892c-4a5d-803b-fef099d07b68,24L,693.0,WT,148,545.0
15_abacf0f9-77ae-4295-af65-28c1392ac136,16078,25833,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,26451,15,15_abacf0f9-77ae-4295-af65-28c1392ac136,15R,618.0,WT,136,482.0
15_ac10f6dd-7b24-453d-8be5-853a8326ad20,13232,3622,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,18029,15,15_ac10f6dd-7b24-453d-8be5-853a8326ad20,09R,3622.0,WT,28,3594.0
15_ac015bd1-7d99-4d7e-875a-8a45c71f1629,10343,687,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,99.98,9800,3,51633,15,15_ac015bd1-7d99-4d7e-875a-8a45c71f1629,31R,687.0,WT,95,592.0
15_acaba9af-73c3-4283-93e4-03f3fae6412c,7773,604,LmxM.13_left_10kb - bases 201 - 10000,74.41,7292,1,7826,15,15_acaba9af-73c3-4283-93e4-03f3fae6412c,13L,604.0,WT,118,486.0
15_ad1627e6-9abd-46ad-9ef5-0124e96cb0d4,7109,16765,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,99.94,9800,7,17253,15,15_ad1627e6-9abd-46ad-9ef5-0124e96cb0d4,15R,488.0,WT,136,352.0
15_adb9819b-045b-4a9f-b630-1feda7abd3a3,981,10695,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,11233,15,15_adb9819b-045b-4a9f-b630-1feda7abd3a3,12R,538.0,WT,133,405.0
15_adb65108-1bcf-45d3-8a57-f6584d1eac96,3312,13016,LmxM.23_left_10kb - bases 201 - 10000,100.0,9800,1,26121,15,15_adb65108-1bcf-45d3-8a57-f6584d1eac96,23L,13105.0,WT,182,12923.0
15_add444bb-0077-40ba-8b98-b6a8ae0ddf2c,73,3125,LmxM.27_left_10kb - bases 201 - 10000,31.37,3074,1,3546,15,15_add444bb-0077-40ba-8b98-b6a8ae0ddf2c,27L,421.0,WT,148,273.0
15_af28be37-d421-41a8-89d0-2292fb2b5304,16260,25888,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,28036,15,15_af28be37-d421-41a8-89d0-2292fb2b5304,28L,2148.0,WT,122,2026.0
15_af830fcd-3de0-4045-baba-8980c75193fe,70,3319,LmxM.12_left_10kb - bases 201 - 10000,34.17,3349,1,5359,15,15_af830fcd-3de0-4045-baba-8980c75193fe,12L,2040.0,WT,168,1872.0
15_aff1a37f-e119-4a62-81ef-2eab37e31669,74,5203,LmxM.24_left_10kb - bases 201 - 10000,52.55,5150,1,5765,15,15_aff1a37f-e119-4a62-81ef-2eab37e31669,24L,562.0,WT,148,414.0
15_b0d6ac68-21f7-4660-88ec-594411b1ced3,55445,65162,LmxM.23_left_10kb - bases 201 - 10000,100.0,9800,1,66411,15,15_b0d6ac68-21f7-4660-88ec-594411b1ced3,23L,1249.0,WT,182,1067.0
15_b0dc52b7-8ccb-4bf4-8dc5-b7c665aea7b4,69,6104,LmxM.14_left_10kb - bases 201 - 10000,62.64,6139,1,7037,15,15_b0dc52b7-8ccb-4bf4-8dc5-b7c665aea7b4,14L,933.0,WT,129,804.0
15_b3b06d6d-195e-40cc-9fb0-5143c7223c4d,2608,12307,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,12803,15,15_b3b06d6d-195e-40cc-9fb0-5143c7223c4d,12R,496.0,WT,133,363.0
15_b3b62d5d-b244-4104-9109-941e7decfa9c,6926,2158,LmxM.01_left_10kb - bases 201 - 10000,49.4,4841,1,6930,15,15_b3b62d5d-b244-4104-9109-941e7decfa9c,01L,2158.0,WT,114,2044.0
15_b3de695a-97a8-477f-b740-7661422f58d0,80,5720,LmxM.28_left_10kb - bases 201 - 10000,57.86,5670,1,39110,15,15_b3de695a-97a8-477f-b740-7661422f58d0,28L,33390.0,WT,122,33268.0
15_b3f25063-857f-4cfb-b354-ee68f194d518,16405,8928,LmxM.24_left_10kb - bases 201 - 10000,78.53,7697,2,16459,15,15_b3f25063-857f-4cfb-b354-ee68f194d518,24L,8928.0,WT,148,8780.0
15_b4c585f4-c74a-4017-b72c-b01abb1f3fb3,1631,11372,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,99.79,9787,9,12075,15,15_b4c585f4-c74a-4017-b72c-b01abb1f3fb3,03R,703.0,WT,96,607.0
15_b4cb1a95-5556-46b2-8e94-a4e7c785bfeb,78,4578,LmxM.19_left_10kb - bases 201 - 10000,46.16,4524,1,4931,15,15_b4cb1a95-5556-46b2-8e94-a4e7c785bfeb,19L,353.0,WT,128,225.0
15_b5ac7669-4007-4056-9713-9ae818126153,41671,49529,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.71,8106,1,50073,15,15_b5ac7669-4007-4056-9713-9ae818126153,16R,544.0,WT,168,376.0
15_b5b018d9-871b-41fd-8c26-f363f05e9360,218,9694,LmxM.27_left_10kb - bases 201 - 10000,97.26,9531,1,12346,15,15_b5b018d9-871b-41fd-8c26-f363f05e9360,27L,2652.0,WT,148,2504.0
15_b6fed60d-079b-4e20-8fd3-6dd65326205a,55040,64750,LmxM.27_left_10kb - bases 201 - 10000,100.0,9800,1,65182,15,15_b6fed60d-079b-4e20-8fd3-6dd65326205a,27L,432.0,WT,148,284.0
15_b7dcdd0a-b345-49ac-87a2-5a758750eecb,73,4918,LmxM.24_left_10kb - bases 201 - 10000,50.47,4946,1,7036,15,15_b7dcdd0a-b345-49ac-87a2-5a758750eecb,24L,2118.0,WT,148,1970.0
15_b8a6b30e-6031-4226-8c14-2f466768c125,10770,1078,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,11734,15,15_b8a6b30e-6031-4226-8c14-2f466768c125,28L,1078.0,WT,122,956.0
15_b8e60ca0-93ee-4919-a4d0-5fe5dca11dd0,2653,12378,LmxM.13_left_10kb - bases 201 - 10000,100.0,9800,1,12964,15,15_b8e60ca0-93ee-4919-a4d0-5fe5dca11dd0,13L,586.0,WT,118,468.0
15_b8fd7066-ef17-491d-af31-355166325eb9,6841,16579,LmxM.13_left_10kb - bases 201 - 10000,100.0,9800,1,17082,15,15_b8fd7066-ef17-491d-af31-355166325eb9,13L,503.0,WT,118,385.0
15_b9cd53b5-422f-49c2-8d1d-c4787bd02cc4,6946,16637,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,25751,15,15_b9cd53b5-422f-49c2-8d1d-c4787bd02cc4,28L,9114.0,WT,122,8992.0
15_b35f3c14-392c-442c-bdd5-73587d40f801,25747,35458,LmxM.12_left_10kb - bases 201 - 10000,100.0,9800,1,38759,15,15_b35f3c14-392c-442c-bdd5-73587d40f801,12L,3301.0,WT,168,3133.0
15_b37aa20e-ac96-48ff-8bca-7387f29e546d,8007,17684,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,18243,15,15_b37aa20e-ac96-48ff-8bca-7387f29e546d,12R,559.0,WT,133,426.0
15_b54b0508-82c1-4ab4-9161-735fcfc5cf00,9976,334,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,99.98,9800,3,10246,15,15_b54b0508-82c1-4ab4-9161-735fcfc5cf00,31R,334.0,WT,95,239.0
15_b71ee3ca-d770-477a-b096-69dec09ff244,72,5622,LmxM.23_left_10kb - bases 201 - 10000,56.93,5579,1,17969,15,15_b71ee3ca-d770-477a-b096-69dec09ff244,23L,12347.0,WT,182,12165.0
15_b134bb09-2544-47a4-88c4-3697067eaf62,2155,11835,LmxM.12_left_10kb - bases 201 - 10000,99.96,9796,1,29173,15,15_b134bb09-2544-47a4-88c4-3697067eaf62,12L,17338.0,WT,168,17170.0
15_b4658dfb-2268-49ff-9520-d163c18419d1,5173,1186,LmxM.12_left_10kb - bases 201 - 10000,41.21,4039,1,5220,15,15_b4658dfb-2268-49ff-9520-d163c18419d1,12L,1186.0,WT,168,1018.0
15_b7398bb4-65c9-4e78-b412-b7654b445c44,13249,8988,LmxM.24_left_10kb - bases 201 - 10000,44.92,4402,1,13301,15,15_b7398bb4-65c9-4e78-b412-b7654b445c44,24L,8988.0,WT,148,8840.0
15_b08564fd-05d1-40c4-91f0-b8b89d830227,58445,68175,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,86897,15,15_b08564fd-05d1-40c4-91f0-b8b89d830227,28L,18722.0,WT,122,18600.0
15_b9816e48-cf4a-43f2-984f-a444cead22dc,72,4682,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,47.43,4648,1,5171,15,15_b9816e48-cf4a-43f2-984f-a444cead22dc,23R,489.0,WT,186,303.0
15_b23324c2-c881-4eae-9f74-4f46d61deff7,12222,4008,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,85.43,8374,3,12223,15,15_b23324c2-c881-4eae-9f74-4f46d61deff7,03R,4008.0,WT,96,3912.0
15_b274971d-5b15-422a-896a-a9e4a1c7d27a,9877,293,LmxM.13_left_10kb - bases 201 - 10000,99.98,9798,1,23156,15,15_b274971d-5b15-422a-896a-a9e4a1c7d27a,13L,293.0,WT,118,175.0
15_b4501902-819a-4990-9655-3250ceeecd2e,7785,17274,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,99.73,9782,9,17481,15,15_b4501902-819a-4990-9655-3250ceeecd2e,03R,207.0,WT,96,111.0
15_b8306156-bfb0-4c50-b264-89005eb85c0b,9911,242,LmxM.14_left_10kb - bases 201 - 10000,99.74,9780,6,21697,15,15_b8306156-bfb0-4c50-b264-89005eb85c0b,14L,242.0,WT,129,113.0
15_ba6a7f6c-e77b-4ce9-8415-87910c10c08e,35898,45609,LmxM.12_left_10kb - bases 201 - 10000,100.0,9800,1,47591,15,15_ba6a7f6c-e77b-4ce9-8415-87910c10c08e,12L,1982.0,WT,168,1814.0
15_be6ecf0a-696d-420a-bac9-facf502eb8ac,4012,11984,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.77,8111,1,16132,15,15_be6ecf0a-696d-420a-bac9-facf502eb8ac,16R,4148.0,WT,168,3980.0
15_be38402d-db3e-449f-b2db-3a92dea9f395,57546,67166,LmxM.13_left_10kb - bases 201 - 10000,99.99,9800,2,67826,15,15_be38402d-db3e-449f-b2db-3a92dea9f395,13L,660.0,WT,118,542.0
15_bf59c696-2cdd-4494-b312-5aa010eb2c7a,19514,9872,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,38100,15,15_bf59c696-2cdd-4494-b312-5aa010eb2c7a,09R,9872.0,WT,28,9844.0
15_bfd9cf27-82d3-400c-ac17-47a0533c0da7,4614,750,LmxM.33_left_10kb - bases 201 - 10000,39.44,3865,1,4614,15,15_bfd9cf27-82d3-400c-ac17-47a0533c0da7,33L,750.0,WT,85,665.0
15_c0b678b0-249c-465a-ac45-5b6f935a3582,39,5650,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,58.01,5685,1,6155,15,15_c0b678b0-249c-465a-ac45-5b6f935a3582,18R,505.0,WT,186,319.0
15_c01a04da-1bb9-4663-b77d-03667d8c1475,23995,14327,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,35376,15,15_c01a04da-1bb9-4663-b77d-03667d8c1475,09R,14327.0,WT,28,14299.0
15_c2dd2d18-32e7-4efa-90e5-06760f413ea9,22881,32571,LmxM.05_left_10kb - bases 201 - 10000,100.0,9800,1,33396,15,15_c2dd2d18-32e7-4efa-90e5-06760f413ea9,05L,825.0,WT,167,658.0
15_c3ddf826-d711-4fa8-8b1f-9152571c9136,30437,39999,LmxM.19_left_10kb - bases 201 - 10000,100.0,9800,1,41564,15,15_c3ddf826-d711-4fa8-8b1f-9152571c9136,19L,1565.0,WT,128,1437.0
15_c4bc4419-371f-4e26-9b4b-8114a56cc4bd,28443,18895,LmxM.12_left_10kb - bases 201 - 10000,100.0,9800,1,110333,15,15_c4bc4419-371f-4e26-9b4b-8114a56cc4bd,12L,18895.0,WT,168,18727.0
15_c4e1c758-8ddb-4cb8-b38c-540e443e1182,71,3691,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,37.3,3655,1,4303,15,15_c4e1c758-8ddb-4cb8-b38c-540e443e1182,12R,612.0,WT,133,479.0
15_c9ba71cc-21e5-40fc-ba34-8a12f8780848,13235,5612,LmxM.14_left_10kb - bases 201 - 10000,79.17,7759,1,13271,15,15_c9ba71cc-21e5-40fc-ba34-8a12f8780848,14L,5612.0,WT,129,5483.0
15_c9f00df6-1202-49fa-9498-a4ba01612dba,4724,14281,LmxM.07_left_10kb - bases 201 - 10000,100.0,9800,1,14640,15,15_c9f00df6-1202-49fa-9498-a4ba01612dba,07L,359.0,WT,58,301.0
15_c29c0764-df82-4137-8430-3e03a51fb4f6,9992,516,LmxM.23_left_10kb - bases 201 - 10000,100.0,9800,1,20690,15,15_c29c0764-df82-4137-8430-3e03a51fb4f6,23L,516.0,WT,182,334.0
15_c0031af3-9d48-4909-bd8a-f02a24063d78,10131,439,LmxM.07_left_10kb - bases 201 - 10000,99.81,9800,20,13148,15,15_c0031af3-9d48-4909-bd8a-f02a24063d78,07L,439.0,WT,58,381.0
15_c65a92cb-3547-4f4b-9dbb-146b7e9b3e13,25000,34698,LmxM.01_left_10kb - bases 201 - 10000,100.0,9800,1,35990,15,15_c65a92cb-3547-4f4b-9dbb-146b7e9b3e13,01L,1292.0,WT,114,1178.0
15_c88d99ad-1bc9-482e-9fe0-f1587b2c59c1,28295,38027,LmxM.05_left_10kb - bases 201 - 10000,100.0,9800,1,38809,15,15_c88d99ad-1bc9-482e-9fe0-f1587b2c59c1,05L,782.0,WT,167,615.0
15_c091dcd4-587f-4ef9-8e29-0bd840c1d96e,71,6891,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,69.93,6853,1,7368,15,15_c091dcd4-587f-4ef9-8e29-0bd840c1d96e,03R,477.0,WT,96,381.0
15_c94ddf88-5eb3-468b-8e17-6e9c41d517b1,144,6604,LmxM.12_left_10kb - bases 201 - 10000,68.28,6691,1,7491,15,15_c94ddf88-5eb3-468b-8e17-6e9c41d517b1,12L,887.0,WT,168,719.0
15_c439df7b-8893-4918-9bf5-78ad4ba3027c,18442,28120,LmxM.27_left_10kb - bases 201 - 10000,100.0,9800,1,28557,15,15_c439df7b-8893-4918-9bf5-78ad4ba3027c,27L,437.0,WT,148,289.0
15_c910baf0-8d18-4663-ad7a-0c744276f933,785,10497,LmxM.14_left_10kb - bases 201 - 10000,100.0,9800,1,11328,15,15_c910baf0-8d18-4663-ad7a-0c744276f933,14L,831.0,WT,129,702.0
15_c8736c17-97e6-4a4e-a940-2d7a0566a6b2,7106,2186,LmxM.24_left_10kb - bases 201 - 10000,50.49,4948,1,7157,15,15_c8736c17-97e6-4a4e-a940-2d7a0566a6b2,24L,2186.0,WT,148,2038.0
15_c715359a-fa53-46ed-8e74-a955a54be890,25634,35351,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,35998,15,15_c715359a-fa53-46ed-8e74-a955a54be890,23R,647.0,WT,186,461.0
15_c2803613-a8e6-4152-afa4-ef13fd72f8a3,63,3853,LmxM.13_left_10kb - bases 201 - 10000,38.93,3815,1,4301,15,15_c2803613-a8e6-4152-afa4-ef13fd72f8a3,13L,448.0,WT,118,330.0
15_c3523990-719d-4d49-83ef-4d31e62f3e4f,15090,24772,LmxM.05_left_10kb - bases 201 - 10000,99.65,9800,35,25568,15,15_c3523990-719d-4d49-83ef-4d31e62f3e4f,05L,796.0,WT,167,629.0
15_ca36ba63-fcc5-4a30-b935-6894ca734fd4,70,5020,LmxM.05_left_10kb - bases 201 - 10000,51.06,5004,1,5784,15,15_ca36ba63-fcc5-4a30-b935-6894ca734fd4,05L,764.0,WT,167,597.0
15_caaf0255-48be-4dd2-9dff-d04826f6386d,9123,18690,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,43050,15,15_caaf0255-48be-4dd2-9dff-d04826f6386d,09R,24360.0,WT,28,24332.0
15_cadec11e-593e-4216-a278-666d94752557,47638,57369,LmxM.19_left_10kb - bases 201 - 10000,100.0,9800,1,57860,15,15_cadec11e-593e-4216-a278-666d94752557,19L,491.0,WT,128,363.0
15_cb110b47-155c-4f48-b7d3-7c19767ac067,7530,2959,LmxM.27_left_10kb - bases 201 - 10000,47.19,4625,1,7533,15,15_cb110b47-155c-4f48-b7d3-7c19767ac067,27L,2959.0,WT,148,2811.0
15_cbdb301a-db12-4941-87c5-4365fee12719,2653,12419,LmxM.13_left_10kb - bases 201 - 10000,100.0,9800,1,12965,15,15_cbdb301a-db12-4941-87c5-4365fee12719,13L,546.0,WT,118,428.0
15_cc6621ce-3eed-482b-9998-06707ec03674,12491,22192,LmxM.12_left_10kb - bases 201 - 10000,100.0,9800,1,23112,15,15_cc6621ce-3eed-482b-9998-06707ec03674,12L,920.0,WT,168,752.0
15_cc685110-0e6e-4d76-8232-dbf8fa3630bf,4613,14320,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,99.97,9797,1,14816,15,15_cc685110-0e6e-4d76-8232-dbf8fa3630bf,12R,496.0,WT,133,363.0
15_ccafffc9-1444-4a2c-af78-77ec0cc6cccc,3426,12994,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,32162,15,15_ccafffc9-1444-4a2c-af78-77ec0cc6cccc,09R,19168.0,WT,28,19140.0
15_ccf09202-3225-4ccf-b140-b11f5a52ea1a,29429,19735,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,46310,15,15_ccf09202-3225-4ccf-b140-b11f5a52ea1a,09R,19735.0,WT,28,19707.0
15_cd2bcf7c-e301-45f9-a460-6b98526a2ef3,6677,2385,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,44.13,4325,1,6679,15,15_cd2bcf7c-e301-45f9-a460-6b98526a2ef3,16R,2385.0,WT,168,2217.0
15_cd3eb52e-8e5a-4750-8808-ab584b983b93,12306,4402,LmxM.12_left_10kb - bases 201 - 10000,84.9,8324,5,12308,15,15_cd3eb52e-8e5a-4750-8808-ab584b983b93,12L,4402.0,WT,168,4234.0
15_cdf3606a-a4b6-43cf-a955-c102ec002750,911,10536,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,99.97,9797,1,11032,15,15_cdf3606a-a4b6-43cf-a955-c102ec002750,12R,496.0,WT,133,363.0
15_cef180c3-beb3-4aaa-971b-17b06490c819,10212,19940,LmxM.14_left_10kb - bases 201 - 10000,100.0,9800,1,24940,15,15_cef180c3-beb3-4aaa-971b-17b06490c819,14L,5000.0,WT,129,4871.0
15_cf2b54d8-2755-4f44-a88d-678b98eec0c2,74,6546,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,67.55,6620,1,7051,15,15_cf2b54d8-2755-4f44-a88d-678b98eec0c2,15R,505.0,WT,136,369.0
15_cfaf1c65-98a2-403d-9bef-d519fb808216,52164,61847,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,62399,15,15_cfaf1c65-98a2-403d-9bef-d519fb808216,18R,552.0,WT,186,366.0
15_cfcc2c2c-c024-4de3-affa-7d821838278c,1038,10709,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,13396,15,15_cfcc2c2c-c024-4de3-affa-7d821838278c,28L,2687.0,WT,122,2565.0
15_cffe3baa-cdd8-49b6-a251-2594cf1c0509,6679,2349,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,45.29,4438,1,6727,15,15_cffe3baa-cdd8-49b6-a251-2594cf1c0509,09R,2349.0,WT,28,2321.0
15_d00f5df8-7d14-4354-83a7-9f02074ee761,25657,35356,LmxM.13_left_10kb - bases 201 - 10000,100.0,9800,1,35843,15,15_d00f5df8-7d14-4354-83a7-9f02074ee761,13L,487.0,WT,118,369.0
15_d2d66e67-a52d-49b0-9a0a-8047351b345a,5661,584,LmxM.13_left_10kb - bases 201 - 10000,52.15,5111,1,5666,15,15_d2d66e67-a52d-49b0-9a0a-8047351b345a,13L,584.0,WT,118,466.0
15_d2ecf9a9-b23a-4614-930f-71eb1ac0122a,83,3292,LmxM.27_left_10kb - bases 201 - 10000,33.09,3243,1,3747,15,15_d2ecf9a9-b23a-4614-930f-71eb1ac0122a,27L,455.0,WT,148,307.0
15_d2f39293-9f5f-4193-adde-700b74bf64cc,18141,13064,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,52.46,5141,1,18144,15,15_d2f39293-9f5f-4193-adde-700b74bf64cc,09R,13064.0,WT,28,13036.0
15_d4cec173-fe64-4d1b-a3b1-28caafaf6bce,6678,16379,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,16873,15,15_d4cec173-fe64-4d1b-a3b1-28caafaf6bce,18R,494.0,WT,186,308.0
